time,header,lat,lon,alt,u_e,u_n,zone,letter
1644098039249103035,"seq: 33
stamp: 
  secs: 1644098039
  nsecs: 245920658
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098040246329402,"seq: 34
stamp: 
  secs: 1644098040
  nsecs: 244794130
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098041266930303,"seq: 35
stamp: 
  secs: 1644098041
  nsecs: 265356063
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098042266176594,"seq: 36
stamp: 
  secs: 1644098042
  nsecs: 264853715
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098043247891164,"seq: 37
stamp: 
  secs: 1644098043
  nsecs: 245193243
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098044266522997,"seq: 38
stamp: 
  secs: 1644098044
  nsecs: 265324354
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098045246153184,"seq: 39
stamp: 
  secs: 1644098045
  nsecs: 245081663
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098046246621312,"seq: 40
stamp: 
  secs: 1644098046
  nsecs: 244350433
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098047273307852,"seq: 41
stamp: 
  secs: 1644098047
  nsecs: 269561767
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098048248867178,"seq: 42
stamp: 
  secs: 1644098048
  nsecs: 246808052
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098049267481646,"seq: 43
stamp: 
  secs: 1644098049
  nsecs: 266303539
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098050248143084,"seq: 44
stamp: 
  secs: 1644098050
  nsecs: 246761322
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098051248551012,"seq: 45
stamp: 
  secs: 1644098051
  nsecs: 247657775
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098052247925844,"seq: 46
stamp: 
  secs: 1644098052
  nsecs: 247089147
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
