time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349746285983725,"seq: 38
stamp: 
  secs: 1644349746
  nsecs: 284549713
frame_id: ''",42.34349,-71.084425,18.3,328300.79397586966,4690018.876451561,19,T
1644349747286168647,"seq: 39
stamp: 
  secs: 1644349747
  nsecs: 285058736
frame_id: ''",42.3434983,-71.084413,18.3,328301.8050811166,4690019.773870128,19,T
1644349748285356423,"seq: 40
stamp: 
  secs: 1644349748
  nsecs: 283849239
frame_id: ''",42.3435083,-71.084403,18.2,328302.65606219426,4690020.864099944,19,T
1644349749285346169,"seq: 41
stamp: 
  secs: 1644349749
  nsecs: 283446788
frame_id: ''",42.3435166,-71.084391,18.0,328303.66716692207,4690021.761518767,19,T
1644349750286828467,"seq: 42
stamp: 
  secs: 1644349750
  nsecs: 284740447
frame_id: ''",42.3435266,-71.08438,18.0,328304.60052331607,4690022.84972935,19,T
1644349751288660340,"seq: 43
stamp: 
  secs: 1644349751
  nsecs: 285036325
frame_id: ''",42.343535,-71.084366,18.0,328305.7766513742,4690023.754213818,19,T
1644349752284673024,"seq: 44
stamp: 
  secs: 1644349752
  nsecs: 283189773
frame_id: ''",42.3435433,-71.084351,18.0,328307.0348827228,4690024.645574814,19,T
1644349753365134445,"seq: 45
stamp: 
  secs: 1644349753
  nsecs: 363621473
frame_id: ''",42.3435533,-71.084336,18.1,328308.2977414093,4690025.725708196,19,T
1644349754286500568,"seq: 46
stamp: 
  secs: 1644349754
  nsecs: 285222768
frame_id: ''",42.3435616,-71.084323,17.9,328309.3912205063,4690026.621108408,19,T
1644349755285842282,"seq: 47
stamp: 
  secs: 1644349755
  nsecs: 284984588
frame_id: ''",42.34357,-71.084308,17.8,328310.64972308476,4690027.523574272,19,T
1644349756282738880,"seq: 48
stamp: 
  secs: 1644349756
  nsecs: 281666755
frame_id: ''",42.3435783,-71.084295,17.7,328311.7432015996,4690028.418974834,19,T
1644349757280657820,"seq: 49
stamp: 
  secs: 1644349757
  nsecs: 278760194
frame_id: ''",42.3435866,-71.08428,17.7,328313.0014313423,4690029.310336859,19,T
1644349758280145094,"seq: 50
stamp: 
  secs: 1644349758
  nsecs: 278794288
frame_id: ''",42.343595,-71.084263,17.8,328314.42468445125,4690030.208764678,19,T
1644349759283426520,"seq: 51
stamp: 
  secs: 1644349759
  nsecs: 280572175
frame_id: ''",42.3436033,-71.08425,17.7,328315.5181620609,4690031.104165806,19,T
1644349760279443020,"seq: 52
stamp: 
  secs: 1644349760
  nsecs: 278100728
frame_id: ''",42.3436133,-71.084238,17.8,328316.5338911213,4690032.190358582,19,T
1644349761279350777,"seq: 53
stamp: 
  secs: 1644349761
  nsecs: 277954101
frame_id: ''",42.3436216,-71.084226,17.7,328317.5449924475,4690033.087779323,19,T
1644349762280920042,"seq: 54
stamp: 
  secs: 1644349762
  nsecs: 279072523
frame_id: ''",42.34363,-71.084216,17.6,328318.3916143229,4690034.000343022,19,T
1644349763283759643,"seq: 55
stamp: 
  secs: 1644349763
  nsecs: 281072378
frame_id: ''",42.34364,-71.084205,17.4,328319.3249668464,4690035.088555472,19,T
1644349764320568202,"seq: 56
stamp: 
  secs: 1644349764
  nsecs: 319207191
frame_id: ''",42.3436483,-71.084193,17.4,328320.33606740745,4690035.985976595,19,T
